id,pattern_type,participant_id,sentiment_score,word_count,char_count,negation_count,question_mark,exclamation_mark,subordinator_count,complexity_index
1,confirmshaming,1,-0.872,6,27,1,0,1,1,9.479
2,confirmshaming,2,-0.767,6,26,1,0,0,0,5.987
3,confirmshaming,3,-1.0,4,26,1,0,0,0,9.366
4,confirmshaming,4,-1.0,6,28,1,0,0,1,8.276
5,confirmshaming,5,-1.0,5,27,1,0,1,1,8.723
6,confirmshaming,6,-0.658,5,28,0,0,0,1,8.071
7,confirmshaming,7,-0.587,6,27,0,0,0,0,8.244
8,confirmshaming,8,-0.593,4,29,1,0,0,1,8.831
9,confirmshaming,9,-0.861,5,27,1,0,0,0,6.794
10,confirmshaming,10,-0.74,5,30,1,0,0,1,7.255
11,confirmshaming,11,-0.639,6,32,1,0,1,0,7.987
12,confirmshaming,12,-0.495,6,28,0,0,0,1,7.382
13,confirmshaming,13,-0.707,5,26,1,0,0,0,7.997
14,confirmshaming,14,-0.755,7,26,1,0,0,0,8.161
15,confirmshaming,15,-0.997,6,27,1,0,0,1,7.739
16,confirmshaming,16,-1.0,6,33,1,0,0,1,7.873
17,confirmshaming,17,-1.0,6,35,1,0,0,1,9.043
18,confirmshaming,18,-0.691,6,30,1,0,1,0,10.09
19,confirmshaming,19,-0.805,5,26,1,0,0,0,6.838
20,confirmshaming,20,-0.641,6,25,2,0,0,1,6.669
21,confirmshaming,21,-0.648,6,32,0,0,0,1,6.663
22,confirmshaming,22,-0.97,5,29,1,0,0,1,8.132
23,confirmshaming,23,-0.676,6,26,2,0,0,0,6.925
24,confirmshaming,24,-0.639,6,31,1,0,0,1,9.797
25,confirmshaming,25,-0.745,6,26,1,0,0,1,8.177
26,confirmshaming,26,-0.682,6,28,2,0,0,2,7.043
27,confirmshaming,27,-0.836,5,29,1,0,0,1,7.053
28,confirmshaming,28,-0.782,5,26,1,0,0,0,8.285
29,confirmshaming,29,-0.697,5,28,1,0,0,1,8.983
30,confirmshaming,30,-0.707,7,24,1,0,0,1,11.753
31,confirmshaming,31,-0.653,6,31,1,0,0,1,7.127
32,confirmshaming,32,-0.669,6,26,1,0,1,0,6.287
33,confirmshaming,33,-0.67,5,31,1,0,0,0,7.17
34,confirmshaming,34,-1.0,6,28,1,0,1,1,8.086
35,confirmshaming,35,-0.63,5,30,1,0,0,1,6.7
36,confirmshaming,36,-1.0,6,26,1,0,1,1,8.818
37,confirmshaming,37,-0.976,7,31,0,0,0,1,8.344
38,confirmshaming,38,-0.876,6,25,1,0,0,0,6.652
39,confirmshaming,39,-1.0,7,24,1,0,0,1,9.063
40,confirmshaming,40,-0.805,6,25,1,0,0,0,7.515
41,confirmshaming,41,-1.0,6,30,2,0,0,1,7.748
42,confirmshaming,42,-0.95,6,29,1,0,0,0,8.75
43,confirmshaming,43,-0.681,6,26,1,0,0,1,7.071
44,confirmshaming,44,-0.539,5,30,1,0,0,1,7.308
45,confirmshaming,45,-0.641,6,27,1,0,0,1,9.205
46,confirmshaming,46,-0.799,6,30,1,0,0,1,8.495
47,confirmshaming,47,-0.646,5,34,1,0,0,1,8.524
48,confirmshaming,48,-0.605,6,28,1,0,0,0,7.753
49,confirmshaming,49,-0.766,5,27,1,0,0,0,8.145
50,confirmshaming,50,-0.978,5,26,1,0,0,0,7.687
51,confirmshaming,51,-1.0,6,32,1,0,0,1,7.881
52,confirmshaming,52,-0.844,6,29,1,0,0,1,8.302
53,confirmshaming,53,-0.99,6,27,1,0,0,1,7.925
54,confirmshaming,54,-0.628,6,32,1,0,1,0,8.083
55,confirmshaming,55,-0.936,8,25,1,0,0,0,7.141
56,confirmshaming,56,-1.0,6,29,2,0,0,0,8.392
57,confirmshaming,57,-0.522,5,33,1,0,0,0,7.785
58,confirmshaming,58,-0.919,7,23,1,0,0,1,8.523
59,confirmshaming,59,-1.0,5,27,1,0,0,1,6.366
60,confirmshaming,60,-0.561,7,29,1,0,1,1,7.968
61,confirmshaming,1,-0.519,7,33,1,0,0,1,6.935
62,confirmshaming,2,-0.879,6,31,0,0,0,0,8.618
63,confirmshaming,3,-0.832,7,28,2,0,0,0,8.284
64,confirmshaming,4,-0.739,6,22,1,0,0,1,6.96
65,confirmshaming,5,-0.709,5,25,1,0,0,0,7.37
66,confirmshaming,6,-0.388,5,27,1,0,0,0,7.935
67,confirmshaming,7,-0.653,5,28,1,0,0,1,7.369
68,confirmshaming,8,-0.458,5,27,0,0,0,1,7.651
69,confirmshaming,9,-1.0,6,29,2,0,0,1,6.294
70,confirmshaming,10,-0.449,6,26,1,0,0,0,8.782
71,confirmshaming,11,-0.701,6,32,1,0,0,1,6.863
72,confirmshaming,12,-1.0,6,25,1,0,0,1,8.463
73,confirmshaming,13,-1.0,5,26,1,0,0,1,8.17
74,confirmshaming,14,-0.71,6,27,1,0,0,1,6.922
75,confirmshaming,15,-0.694,6,30,0,0,0,0,7.137
76,confirmshaming,16,-0.68,4,23,1,0,0,0,6.238
77,confirmshaming,17,-0.905,6,24,1,0,0,0,8.906
78,confirmshaming,18,-1.0,5,30,1,0,0,1,7.103
79,confirmshaming,19,-0.854,6,27,1,0,0,1,9.068
80,confirmshaming,20,-0.733,6,29,1,0,0,0,7.479
81,confirmshaming,21,-0.91,6,34,1,0,0,1,5.862
82,confirmshaming,22,-0.748,5,22,1,0,0,1,7.681
83,confirmshaming,23,-0.568,6,21,1,0,0,0,8.238
84,confirmshaming,24,-0.921,5,30,2,0,0,1,7.05
85,confirmshaming,25,-0.747,6,25,1,0,0,1,8.938
86,confirmshaming,26,-0.653,5,27,1,0,0,1,6.978
87,confirmshaming,27,-1.0,6,32,1,0,1,0,6.121
88,confirmshaming,28,-0.282,7,30,1,0,0,0,8.029
89,confirmshaming,29,-0.716,6,30,1,0,0,0,9.782
90,confirmshaming,30,-0.808,7,33,1,0,0,1,8.994
91,fake_urgency,31,-0.584,3,28,0,0,1,0,4.223
92,fake_urgency,32,-0.277,5,19,0,0,1,1,1.897
93,fake_urgency,33,-0.067,4,22,0,0,1,0,5.249
94,fake_urgency,34,-0.217,6,22,0,0,2,0,3.376
95,fake_urgency,35,-0.34,5,23,0,0,1,0,2.687
96,fake_urgency,36,0.054,5,22,1,0,1,1,1.327
97,fake_urgency,37,0.165,4,22,0,0,1,0,4.336
98,fake_urgency,38,-0.489,6,25,0,0,1,1,4.113
99,fake_urgency,39,0.035,4,22,1,0,1,0,2.319
100,fake_urgency,40,-0.017,5,25,0,0,1,0,3.215
101,fake_urgency,41,-0.087,4,26,0,0,1,0,2.12
102,fake_urgency,42,-0.34,6,17,1,0,1,0,3.799
103,fake_urgency,43,-0.233,5,27,0,0,1,0,3.708
104,fake_urgency,44,-0.216,3,19,1,0,1,0,3.748
105,fake_urgency,45,-0.595,4,21,0,0,1,0,4.429
106,fake_urgency,46,-0.625,5,24,1,0,2,1,2.12
107,fake_urgency,47,-0.386,4,23,0,0,1,0,2.788
108,fake_urgency,48,-0.429,3,20,0,0,1,1,6.032
109,fake_urgency,49,-0.193,5,24,0,0,1,0,5.96
110,fake_urgency,50,-0.358,5,27,0,0,1,1,5.212
111,fake_urgency,51,-0.565,5,22,1,0,1,1,2.673
112,fake_urgency,52,-0.136,4,23,0,0,1,0,4.011
113,fake_urgency,53,-0.585,5,26,1,0,1,0,3.83
114,fake_urgency,54,-0.229,5,24,0,0,1,1,4.082
115,fake_urgency,55,-0.322,5,23,1,0,1,0,2.966
116,fake_urgency,56,-0.261,4,24,0,0,2,0,2.96
117,fake_urgency,57,-0.024,6,24,1,0,1,0,3.482
118,fake_urgency,58,-0.318,5,22,1,0,2,0,4.853
119,fake_urgency,59,-0.422,6,22,0,0,1,0,2.396
120,fake_urgency,60,-0.003,4,23,0,0,2,0,3.186
121,fake_urgency,1,-0.112,5,25,0,0,1,0,3.689
122,fake_urgency,2,-0.36,7,21,0,0,1,0,4.589
123,fake_urgency,3,-0.081,6,21,0,0,1,0,3.603
124,fake_urgency,4,-0.157,3,28,1,0,1,0,3.734
125,fake_urgency,5,-0.381,5,29,0,0,1,0,3.367
126,fake_urgency,6,0.336,6,22,0,0,1,1,2.869
127,fake_urgency,7,-0.299,4,26,1,0,2,1,3.991
128,fake_urgency,8,0.084,5,26,0,0,2,1,4.049
129,fake_urgency,9,-0.307,4,24,1,0,1,0,3.429
130,fake_urgency,10,-0.078,6,24,0,0,1,1,5.563
131,fake_urgency,11,-0.159,4,24,0,0,2,0,4.008
132,fake_urgency,12,-0.191,5,22,0,0,2,0,2.7
133,fake_urgency,13,-0.234,6,19,0,0,1,1,2.845
134,fake_urgency,14,-0.445,6,19,0,0,1,0,4.108
135,fake_urgency,15,-0.242,5,22,0,0,1,1,5.247
136,fake_urgency,16,-0.273,4,19,0,0,1,0,3.752
137,fake_urgency,17,-0.12,4,28,0,0,2,0,3.97
138,fake_urgency,18,-0.24,5,25,1,0,1,1,4.84
139,fake_urgency,19,-0.37,4,29,0,0,1,0,4.241
140,fake_urgency,20,-0.568,4,22,0,0,1,0,4.16
141,fake_urgency,21,-0.475,5,24,0,0,1,0,4.903
142,fake_urgency,22,-0.274,5,23,0,0,1,0,2.718
143,fake_urgency,23,-0.094,4,22,1,0,1,0,4.799
144,fake_urgency,24,-0.023,5,23,0,0,1,0,4.035
145,fake_urgency,25,-0.372,5,22,1,0,1,1,5.136
146,fake_urgency,26,-0.105,5,21,0,0,1,0,2.826
147,fake_urgency,27,-0.194,5,30,1,0,1,0,4.014
148,fake_urgency,28,-0.326,4,22,0,0,1,1,4.974
149,fake_urgency,29,-0.321,4,19,0,0,2,1,4.479
150,fake_urgency,30,0.105,5,23,1,0,1,0,4.78
151,fake_urgency,31,-0.368,4,24,0,0,1,0,3.374
152,fake_urgency,32,0.033,6,25,0,0,1,0,1.66
153,fake_urgency,33,-0.144,4,20,0,0,2,0,3.353
154,fake_urgency,34,-0.562,5,23,0,0,1,0,2.972
155,fake_urgency,35,0.237,6,26,0,0,1,0,3.782
156,fake_urgency,36,-0.236,5,26,0,0,1,0,3.363
157,fake_urgency,37,-0.66,5,23,1,0,1,0,4.316
158,fake_urgency,38,0.024,5,26,0,0,2,0,2.36
159,fake_urgency,39,-0.172,5,20,0,0,2,0,4.27
160,fake_urgency,40,-0.176,5,24,0,0,2,0,4.451
161,fake_urgency,41,-0.472,5,27,1,0,1,1,3.703
162,fake_urgency,42,0.135,4,23,0,0,1,0,3.854
163,fake_urgency,43,-0.066,4,26,1,0,1,1,3.102
164,fake_urgency,44,-0.461,6,23,0,0,1,0,1.96
165,fake_urgency,45,-0.511,6,21,0,0,1,0,5.042
166,fake_urgency,46,-0.77,5,21,1,0,1,0,5.691
167,fake_urgency,47,-0.096,3,18,1,0,2,1,3.995
168,fake_urgency,48,-0.386,5,25,0,0,1,0,3.119
169,fake_urgency,49,0.086,3,23,0,0,1,0,4.318
170,fake_urgency,50,-0.099,3,20,1,0,1,0,2.432
171,fake_urgency,51,-0.123,5,19,0,0,1,0,3.38
172,fake_urgency,52,-0.193,5,24,1,0,1,0,3.943
173,fake_urgency,53,0.165,5,23,0,0,1,0,2.156
174,fake_urgency,54,-0.368,4,21,1,0,1,1,3.679
175,fake_urgency,55,-0.129,4,30,0,0,1,1,3.215
176,fake_urgency,56,-0.343,4,23,0,0,1,1,2.03
177,fake_urgency,57,-0.342,5,31,0,0,2,1,3.969
178,fake_urgency,58,-0.363,6,22,0,0,1,0,2.176
179,fake_urgency,59,-0.037,5,21,0,0,1,0,1.406
180,fake_urgency,60,-0.375,5,27,0,0,2,0,3.344
181,trick_question,1,-0.771,8,40,2,0,0,1,10.789
182,trick_question,2,-0.7,7,37,2,0,0,1,10.584
183,trick_question,3,-0.528,9,40,2,0,0,1,11.034
184,trick_question,4,-0.864,8,42,2,0,0,1,11.408
185,trick_question,5,-0.276,7,33,2,0,1,1,10.982
186,trick_question,6,-0.607,8,42,1,0,0,1,11.892
187,trick_question,7,-0.462,8,37,2,0,0,1,11.986
188,trick_question,8,-0.458,8,39,2,0,0,1,9.588
189,trick_question,9,-0.343,7,39,1,0,0,1,10.83
190,trick_question,10,-0.726,8,40,1,0,0,1,11.5
191,trick_question,11,-0.534,9,43,1,0,0,1,10.287
192,trick_question,12,-0.364,8,38,2,0,0,1,12.091
193,trick_question,13,-0.509,9,35,1,0,0,1,9.73
194,trick_question,14,-0.58,6,41,2,0,0,0,11.292
195,trick_question,15,-0.674,7,40,2,0,0,1,12.097
196,trick_question,16,-0.498,8,39,1,0,0,1,12.612
197,trick_question,17,-0.231,7,35,2,0,0,1,10.294
198,trick_question,18,-0.297,9,42,1,0,1,1,11.199
199,trick_question,19,-0.609,9,44,2,0,0,1,12.913
200,trick_question,20,-0.196,8,38,2,0,0,1,10.243
201,trick_question,21,-0.626,7,41,2,0,0,2,9.478
202,trick_question,22,-0.36,9,39,1,0,0,1,13.065
203,trick_question,23,-0.348,7,42,2,0,0,2,11.438
204,trick_question,24,-0.008,9,38,1,0,0,1,9.797
205,trick_question,25,-0.588,8,39,2,0,0,2,10.733
206,trick_question,26,-0.314,8,39,2,0,0,1,12.073
207,trick_question,27,-0.331,8,36,2,0,0,1,12.138
208,trick_question,28,-0.336,8,40,2,0,0,2,9.139
209,trick_question,29,-0.729,9,41,2,0,0,1,10.691
210,trick_question,30,-0.723,7,38,2,0,0,1,11.345
211,trick_question,31,-0.317,9,38,2,0,0,1,10.779
212,trick_question,32,-0.08,8,37,1,0,0,1,10.5
213,trick_question,33,-0.182,8,42,1,0,0,1,10.348
214,trick_question,34,-0.006,10,38,2,0,0,2,12.108
215,trick_question,35,-0.461,9,41,2,0,0,1,10.73
216,trick_question,36,-0.711,8,42,2,0,0,2,10.706
217,trick_question,37,-0.321,7,34,2,0,0,2,9.876
218,trick_question,38,-0.542,9,43,2,0,0,1,11.989
219,trick_question,39,-0.849,9,44,1,0,0,1,11.223
220,trick_question,40,-0.717,8,38,1,0,0,1,8.028
221,trick_question,41,-0.357,8,45,2,0,0,1,9.902
222,trick_question,42,-0.653,8,42,2,0,0,1,10.073
223,trick_question,43,-0.52,8,41,2,0,0,2,10.879
224,trick_question,44,-0.445,7,32,2,0,0,1,11.416
225,trick_question,45,-0.758,7,38,2,0,0,1,11.366
226,trick_question,46,-0.416,8,35,2,0,0,1,12.049
227,trick_question,47,-0.541,7,40,2,0,0,1,10.072
228,trick_question,48,-0.98,8,36,1,0,0,2,9.89
229,trick_question,49,-0.158,8,46,2,0,0,1,10.254
230,trick_question,50,-0.389,7,38,1,0,0,2,10.648
231,trick_question,51,0.242,8,35,2,0,0,1,11.199
232,trick_question,52,-0.258,7,38,2,0,0,1,10.232
233,trick_question,53,-0.272,9,43,1,0,0,1,11.385
234,trick_question,54,-0.67,7,38,2,0,0,1,11.324
235,trick_question,55,-0.36,10,36,2,0,0,1,9.838
236,trick_question,56,-0.332,8,39,2,0,0,2,11.226
237,trick_question,57,-0.17,8,38,2,0,0,1,9.893
238,trick_question,58,-0.175,9,43,2,0,0,1,10.877
239,trick_question,59,-0.541,7,38,2,0,0,1,10.508
240,trick_question,60,-0.24,7,44,1,0,0,2,10.468
241,trick_question,1,-0.199,8,39,1,0,0,1,10.435
242,trick_question,2,-0.268,8,40,1,0,0,1,9.554
243,trick_question,3,-0.42,8,45,1,0,0,1,11.251
244,trick_question,4,-0.312,8,41,2,0,0,1,12.8
245,trick_question,5,-0.274,8,37,2,0,0,0,10.365
246,trick_question,6,-0.347,8,40,2,0,0,1,10.64
247,trick_question,7,-0.282,8,41,1,0,0,1,11.267
248,trick_question,8,-0.284,9,39,1,0,0,1,9.284
249,trick_question,9,-0.497,7,36,2,0,0,1,10.97
250,trick_question,10,-0.418,9,37,2,0,0,1,11.901
251,trick_question,11,-0.158,6,42,1,0,0,1,10.763
252,trick_question,12,-0.443,9,44,2,0,0,1,9.298
253,trick_question,13,-0.339,8,37,2,0,0,1,10.944
254,trick_question,14,-0.595,9,38,2,0,0,1,10.863
255,trick_question,15,-0.293,8,37,1,0,0,1,10.982
256,trick_question,16,-0.873,7,39,1,0,0,2,11.015
257,trick_question,17,-0.635,8,42,2,0,0,1,11.976
258,trick_question,18,-0.857,8,45,2,0,0,1,9.316
259,trick_question,19,-0.428,8,41,1,0,0,1,12.512
260,trick_question,20,-0.506,9,39,1,0,0,1,9.913
261,trick_question,21,-0.363,8,40,1,0,0,1,9.81
262,trick_question,22,-0.25,9,39,2,0,0,1,11.187
263,trick_question,23,-0.506,7,41,1,0,0,1,10.771
264,trick_question,24,-0.182,6,38,2,0,0,1,10.034
265,trick_question,25,-0.258,9,41,1,0,1,1,11.901
266,trick_question,26,-0.49,7,44,1,0,0,1,11.711
267,trick_question,27,-0.212,9,34,2,0,0,2,9.809
268,trick_question,28,-0.172,8,36,1,0,0,1,12.296
269,trick_question,29,-0.105,7,39,1,0,0,2,9.666
270,trick_question,30,-0.564,7,39,2,0,0,1,10.886
271,visual_interference,31,-0.171,4,15,0,0,0,0,2.541
272,visual_interference,32,0.168,4,17,0,0,0,0,3.17
273,visual_interference,33,-0.059,3,17,0,0,0,0,4.533
274,visual_interference,34,-0.263,5,17,0,0,0,0,2.179
275,visual_interference,35,-0.037,3,14,0,0,0,0,4.874
276,visual_interference,36,-0.361,2,8,0,0,0,1,3.297
277,visual_interference,37,0.013,3,15,1,0,0,0,3.886
278,visual_interference,38,0.047,3,16,0,0,0,0,2.43
279,visual_interference,39,0.188,3,15,0,0,0,0,1.894
280,visual_interference,40,0.142,3,14,1,0,0,1,3.023
281,visual_interference,41,-0.07,3,16,0,0,0,0,2.603
282,visual_interference,42,0.054,3,15,0,0,0,0,2.995
283,visual_interference,43,-0.0,3,14,0,0,0,0,1.828
284,visual_interference,44,0.07,2,14,0,0,0,0,3.316
285,visual_interference,45,0.066,3,17,0,0,0,1,3.151
286,visual_interference,46,-0.239,4,15,0,0,0,0,2.655
287,visual_interference,47,-0.27,2,14,0,0,0,0,3.459
288,visual_interference,48,0.092,4,11,0,0,0,0,2.606
289,visual_interference,49,-0.029,3,9,0,0,0,0,4.161
290,visual_interference,50,-0.044,2,6,0,0,0,1,2.308
291,visual_interference,51,0.517,4,12,0,0,0,0,3.192
292,visual_interference,52,-0.205,3,15,0,0,0,0,2.952
293,visual_interference,53,-0.056,2,19,0,0,0,0,3.625
294,visual_interference,54,-0.195,2,13,0,0,0,0,3.674
295,visual_interference,55,-0.113,3,16,0,0,0,0,3.065
296,visual_interference,56,0.122,3,8,0,0,0,0,4.036
297,visual_interference,57,0.175,3,16,0,0,0,0,2.661
298,visual_interference,58,-0.211,3,15,0,0,0,0,1.579
299,visual_interference,59,-0.024,3,15,0,0,0,0,3.422
300,visual_interference,60,-0.432,2,19,0,0,0,0,3.618
301,visual_interference,1,0.271,3,13,0,0,0,0,1.899
302,visual_interference,2,-0.081,4,14,0,0,0,0,1.798
303,visual_interference,3,-0.132,4,14,0,0,0,0,5.213
304,visual_interference,4,-0.35,4,15,0,0,0,0,3.914
305,visual_interference,5,0.04,4,18,0,0,0,0,2.446
306,visual_interference,6,-0.054,3,16,1,0,0,0,2.851
307,visual_interference,7,-0.272,3,16,0,0,0,0,2.697
308,visual_interference,8,-0.367,2,15,1,0,0,0,2.184
309,visual_interference,9,-0.036,3,14,1,0,0,0,3.298
310,visual_interference,10,-0.141,4,20,0,0,0,0,3.266
311,visual_interference,11,0.37,4,15,0,0,0,0,1.192
312,visual_interference,12,-0.13,3,21,0,0,0,0,4.173
313,visual_interference,13,0.039,1,20,0,0,0,0,1.202
314,visual_interference,14,0.004,3,21,0,0,0,0,2.819
315,visual_interference,15,-0.375,3,17,1,0,0,0,1.844
316,visual_interference,16,-0.365,3,20,0,0,0,0,3.405
317,visual_interference,17,-0.105,4,14,0,0,0,0,4.9
318,visual_interference,18,-0.233,3,14,0,0,0,0,4.121
319,visual_interference,19,0.084,4,14,0,0,0,0,0.83
320,visual_interference,20,-0.18,4,12,0,0,0,0,3.486
321,visual_interference,21,-0.067,3,17,1,0,0,1,1.901
322,visual_interference,22,-0.409,2,15,0,0,0,1,2.788
323,visual_interference,23,-0.046,2,16,0,0,0,0,3.237
324,visual_interference,24,-0.481,3,19,0,0,0,1,3.12
325,visual_interference,25,-0.082,3,15,0,0,0,0,1.713
326,visual_interference,26,-0.47,2,17,0,0,0,0,2.122
327,visual_interference,27,-0.145,4,12,0,0,0,0,2.202
328,visual_interference,28,-0.273,4,21,0,0,0,0,3.323
329,visual_interference,29,-0.31,3,20,0,0,0,0,2.416
330,visual_interference,30,0.028,3,21,1,0,0,0,3.688
331,visual_interference,31,0.003,3,21,0,0,0,0,3.639
332,visual_interference,32,0.011,3,14,0,0,0,0,4.474
333,visual_interference,33,0.097,3,17,0,0,0,0,2.506
334,visual_interference,34,0.02,3,11,0,0,0,0,2.85
335,visual_interference,35,-0.206,3,13,0,0,0,0,0.647
336,visual_interference,36,0.143,4,14,0,0,0,0,3.417
337,visual_interference,37,-0.058,4,11,1,0,0,0,1.024
338,visual_interference,38,-0.228,3,12,0,0,0,0,4.334
339,visual_interference,39,-0.211,3,10,0,0,0,0,2.96
340,visual_interference,40,-0.181,4,19,1,0,0,0,3.06
341,visual_interference,41,-0.257,2,13,0,0,0,0,2.57
342,visual_interference,42,-0.419,2,18,0,0,0,0,2.15
343,visual_interference,43,-0.075,3,11,0,0,0,0,2.078
344,visual_interference,44,-0.376,3,14,0,0,0,1,3.63
345,visual_interference,45,-0.292,4,12,0,0,0,0,3.818
346,visual_interference,46,0.14,3,17,0,0,0,0,3.97
347,visual_interference,47,-0.104,3,15,0,0,0,0,3.924
348,visual_interference,48,-0.04,3,17,0,0,0,0,2.43
349,visual_interference,49,0.214,3,18,0,0,0,1,1.508
350,visual_interference,50,-0.262,4,14,0,0,0,0,2.109
351,visual_interference,51,0.237,2,13,0,0,0,0,2.22
352,visual_interference,52,0.016,3,17,0,0,0,0,1.562
353,visual_interference,53,-0.136,4,18,0,0,0,0,3.873
354,visual_interference,54,-0.141,5,13,0,0,0,0,4.253
355,visual_interference,55,-0.259,2,17,0,0,0,1,2.25
356,visual_interference,56,-0.093,4,14,0,0,0,0,2.11
357,visual_interference,57,-0.152,3,20,0,0,0,0,3.59
358,visual_interference,58,-0.329,3,17,0,0,0,0,1.975
359,visual_interference,59,0.03,5,19,0,0,0,0,3.349
360,visual_interference,60,-0.141,3,15,0,0,0,0,1.949
