id,text,pattern_type,source,brand_or_site,language,notes
1,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
2,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
3,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
4,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
5,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
6,"No thanks, I'll stay uninformed",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
7,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
8,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
9,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
10,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
11,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
12,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
13,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
14,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
15,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
16,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
17,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
18,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
19,"No, I don't want exclusive access",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
20,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
21,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
22,"No thanks, I'll stay uninformed",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
23,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
24,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
25,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
26,"No thanks, I'll stay uninformed",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
27,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
28,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
29,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
30,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
31,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
32,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
33,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
34,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
35,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
36,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
37,"No, I don't want exclusive access",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
38,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
39,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
40,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
41,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
42,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
43,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
44,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
45,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
46,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
47,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
48,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
49,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
50,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
51,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
52,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
53,"No, I don't want exclusive access",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
54,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
55,"No thanks, I'll stay uninformed",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
56,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
57,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
58,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
59,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
60,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
61,"No thanks, I'll stay uninformed",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
62,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
63,"No thanks, I'll stay uninformed",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
64,"No, I don't want exclusive access",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
65,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
66,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
67,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
68,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
69,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
70,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
71,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
72,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
73,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
74,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
75,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
76,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
77,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
78,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
79,"No, I don't want exclusive access",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
80,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
81,"No, I don't want exclusive access",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
82,"No thanks, I'll stay uninformed",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
83,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
84,"No thanks, I'll stay uninformed",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
85,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
86,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
87,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
88,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
89,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
90,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
91,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
92,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
93,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
94,Only 1 item left in stock!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
95,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
96,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
97,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
98,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
99,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
100,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
101,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
102,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
103,Your discount is about to expire,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
104,Only 1 item left in stock!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
105,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
106,Your discount is about to expire,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
107,Limited time offer,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
108,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
109,Your discount is about to expire,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
110,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
111,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
112,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
113,Only 1 item left in stock!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
114,Your discount is about to expire,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
115,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
116,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
117,Your discount is about to expire,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
118,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
119,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
120,Limited time offer,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
121,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
122,Only 1 item left in stock!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
123,Limited time offer,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
124,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
125,Only 1 item left in stock!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
126,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
127,Limited time offer,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
128,Your discount is about to expire,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
129,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
130,Only 1 item left in stock!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
131,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
132,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
133,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
134,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
135,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
136,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
137,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
138,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
139,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
140,Your discount is about to expire,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
141,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
142,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
143,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
144,Your discount is about to expire,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
145,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
146,Limited time offer,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
147,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
148,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
149,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
150,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
151,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
152,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
153,Limited time offer,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
154,Only 1 item left in stock!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
155,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
156,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
157,Only 1 item left in stock!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
158,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
159,Only 1 item left in stock!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
160,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
161,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
162,Only 1 item left in stock!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
163,Limited time offer,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
164,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
165,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
166,Your discount is about to expire,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
167,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
168,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
169,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
170,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
171,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
172,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
173,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
174,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
175,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
176,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
177,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
178,Limited time offer,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
179,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
180,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
181,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
182,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
