id,text,pattern_type,source,brand_or_site,language,notes,Word_Count,Char_Count,Question_Mark,Exclamation_Mark,Negation_Count,Sentiment,Subordinator_Count,Complexity_Index
1,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
2,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,37,0,0,1,-0.2857142857142857,0,9
3,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,28,0,0,1,-0.16666666666666666,0,8
4,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
5,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
6,"No thanks, I'll stay uninformed",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,31,0,0,1,-0.3333333333333333,0,8
7,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
8,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
9,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,30,0,0,1,-0.3333333333333333,0,8
10,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,37,0,0,1,-0.2857142857142857,0,9
11,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,37,0,0,1,-0.2857142857142857,0,9
12,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
13,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
14,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
15,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,37,0,0,1,-0.2857142857142857,0,9
16,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
17,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,30,0,0,1,-0.3333333333333333,0,8
18,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
19,"No, I don't want exclusive access",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,33,0,0,1,0.14285714285714285,0,9
20,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,28,0,0,1,-0.16666666666666666,0,8
21,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,37,0,0,1,-0.2857142857142857,0,9
22,"No thanks, I'll stay uninformed",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,31,0,0,1,-0.3333333333333333,0,8
23,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,30,0,0,1,-0.3333333333333333,0,8
24,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,34,0,0,1,-0.125,0,10
25,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,28,0,0,1,-0.16666666666666666,0,8
26,"No thanks, I'll stay uninformed",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,31,0,0,1,-0.3333333333333333,0,8
27,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
28,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,34,0,0,1,-0.125,0,10
29,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
30,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
31,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,30,0,0,1,-0.3333333333333333,0,8
32,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
33,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,34,0,0,1,-0.125,0,10
34,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,34,0,0,1,-0.125,0,10
35,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,28,0,0,1,-0.16666666666666666,0,8
36,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,37,0,0,1,-0.2857142857142857,0,9
37,"No, I don't want exclusive access",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,33,0,0,1,0.14285714285714285,0,9
38,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
39,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,30,0,0,1,-0.3333333333333333,0,8
40,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
41,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,28,0,0,1,-0.16666666666666666,0,8
42,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,34,0,0,1,-0.125,0,10
43,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
44,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
45,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,37,0,0,1,-0.2857142857142857,0,9
46,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
47,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,28,0,0,1,-0.16666666666666666,0,8
48,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
49,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
50,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
51,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,30,0,0,1,-0.3333333333333333,0,8
52,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,28,0,0,1,-0.16666666666666666,0,8
53,"No, I don't want exclusive access",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,33,0,0,1,0.14285714285714285,0,9
54,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,34,0,0,1,-0.125,0,10
55,"No thanks, I'll stay uninformed",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,31,0,0,1,-0.3333333333333333,0,8
56,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,34,0,0,1,-0.125,0,10
57,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,34,0,0,1,-0.125,0,10
58,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
59,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,28,0,0,1,-0.16666666666666666,0,8
60,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
61,"No thanks, I'll stay uninformed",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,31,0,0,1,-0.3333333333333333,0,8
62,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
63,"No thanks, I'll stay uninformed",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,31,0,0,1,-0.3333333333333333,0,8
64,"No, I don't want exclusive access",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,33,0,0,1,0.14285714285714285,0,9
65,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,30,0,0,1,-0.3333333333333333,0,8
66,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,28,0,0,1,-0.16666666666666666,0,8
67,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
68,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,34,0,0,1,-0.125,0,10
69,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,37,0,0,1,-0.2857142857142857,0,9
70,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
71,"No thanks, I prefer paying full price",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,37,0,0,1,-0.2857142857142857,0,9
72,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,34,0,0,1,-0.125,0,10
73,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,30,0,0,1,-0.3333333333333333,0,8
74,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,28,0,0,1,-0.16666666666666666,0,8
75,"No, I don't want to save money",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,30,0,0,1,0.0,0,10
76,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
77,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,34,0,0,1,-0.125,0,10
78,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
79,"No, I don't want exclusive access",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,33,0,0,1,0.14285714285714285,0,9
80,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,30,0,0,1,-0.3333333333333333,0,8
81,"No, I don't want exclusive access",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,33,0,0,1,0.14285714285714285,0,9
82,"No thanks, I'll stay uninformed",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,31,0,0,1,-0.3333333333333333,0,8
83,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,28,0,0,1,-0.16666666666666666,0,8
84,"No thanks, I'll stay uninformed",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,31,0,0,1,-0.3333333333333333,0,8
85,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
86,"No thanks, I hate good deals",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,28,0,0,1,-0.16666666666666666,0,8
87,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,30,0,0,1,-0.3333333333333333,0,8
88,"No thanks, I like wasting time",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,30,0,0,1,-0.3333333333333333,0,8
89,"No, I don't care about my security",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,34,0,0,1,-0.125,0,10
90,"No, I enjoy missing out",confirmshaming,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,23,0,0,1,-0.6,0,7
91,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,25,0,0,0,-0.16666666666666666,0,6
92,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,34,0,0,0,-0.2,0,5
93,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,0,0.0,0,7
94,Only 1 item left in stock!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,26,0,1,0,-0.16666666666666666,0,7
95,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,0,0.0,0,7
96,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,25,0,0,0,-0.16666666666666666,0,6
97,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,25,0,0,0,-0.16666666666666666,0,6
98,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,13,0,1,0,0.0,0,3
99,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,0,0.0,0,7
100,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,13,0,1,0,0.0,0,3
101,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,13,0,1,0,0.0,0,3
102,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,34,0,0,0,-0.2,0,5
103,Your discount is about to expire,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,32,0,0,0,0.0,0,6
104,Only 1 item left in stock!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,26,0,1,0,-0.16666666666666666,0,7
105,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,0,0.0,0,7
106,Your discount is about to expire,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,32,0,0,0,0.0,0,6
107,Limited time offer,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,18,0,0,0,0.0,0,3
108,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,0,0.0,0,7
109,Your discount is about to expire,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,32,0,0,0,0.0,0,6
110,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,13,0,1,0,0.0,0,3
111,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,25,0,0,0,-0.16666666666666666,0,6
112,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,34,0,0,0,-0.2,0,5
113,Only 1 item left in stock!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,26,0,1,0,-0.16666666666666666,0,7
114,Your discount is about to expire,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,32,0,0,0,0.0,0,6
115,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,25,0,0,0,-0.16666666666666666,0,6
116,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,0,0.0,0,7
117,Your discount is about to expire,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,32,0,0,0,0.0,0,6
118,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,4,20,0,1,0,-0.25,0,5
119,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,25,0,0,0,-0.16666666666666666,0,6
